S(Q) d_Q
15.05295 1.062981
15.07628 1.06268
15.09961 1.062571
15.12294 1.062503
15.14627 1.061576
15.1696 1.061094
15.19293 1.06039
15.21626 1.058926
15.23959 1.0575
15.26292 1.05585
15.28625 1.054151
15.30958 1.05268
15.33291 1.051282
15.35624 1.049855
15.37957 1.047971
15.4029 1.04663
15.42623 1.04497
15.44956 1.043222
15.47289 1.0411
15.49622 1.039369
15.51955 1.036852
15.54288 1.034517
15.56621 1.03257
15.58954 1.030833
15.61287 1.028937
15.6362 1.027478
15.65953 1.025988
15.68286 1.023947
15.70619 1.021822
15.72952 1.019745
15.75285 1.017468
15.77618 1.014518
15.79951 1.012095
15.82284 1.009386
15.84617 1.006545
15.8695 1.003546
15.89283 1.000497
15.91616 0.9976013
15.93949 0.9946097
15.96282 0.9909133
15.98615 0.9874348
16.00948 0.9839524
16.03281 0.9806721
16.05614 0.9776818
16.07947 0.9747217
16.1028 0.9715875
16.12613 0.9688215
16.14946 0.9659914
16.17279 0.963059
16.19612 0.9608568
16.21945 0.9586231
16.24278 0.9570457
16.26611 0.9557106
16.28944 0.954183
16.31277 0.9526645
16.3361 0.9509285
16.35943 0.9496319
16.38276 0.9481997
16.40609 0.947067
16.42942 0.945431
16.45275 0.9440877
16.47608 0.9427989
16.49941 0.9418479
16.52274 0.9407825
16.54607 0.9403929
16.5694 0.9399869
16.59273 0.9400891
16.61606 0.9398942
16.63939 0.9401407
16.66272 0.93999
16.68605 0.9409065
16.70938 0.9414236
16.73271 0.9421291
16.75604 0.9429749
16.77937 0.9441455
16.8027 0.9432647
16.82603 0.9420247
16.84936 0.9414785
16.87269 0.9421609
16.89602 0.9441366
16.91935 0.9463882
16.94268 0.9481926
16.96601 0.9500021
16.98934 0.9515422
17.01267 0.9531655
17.036 0.954452
17.05933 0.9560186
17.08266 0.9569364
17.10599 0.9576813
17.12932 0.9584979
17.15265 0.9592518
17.17598 0.9601315
17.19931 0.9620059
17.22264 0.9655353
17.24597 0.9694163
17.2693 0.9723228
17.29263 0.9751397
17.31596 0.9771315
17.33929 0.9792096
17.36262 0.9821834
17.38595 0.984065
17.40928 0.9862393
17.43261 0.9887646
17.45594 0.9916593
17.47927 0.9936595
17.5026 0.9963042
17.52593 0.9987011
17.54926 1.001456
17.57259 1.00344
17.59592 1.004691
17.61925 1.006764
17.64258 1.008829
17.66591 1.01019
17.68924 1.011603
17.71257 1.012729
17.7359 1.013676
17.75923 1.014748
17.78256 1.016019
17.80589 1.016561
17.82922 1.016783
17.85255 1.01735
17.87588 1.015247
17.89921 1.016874
17.92254 1.01788
17.94587 1.018043
17.9692 1.018803
17.99253 1.019587
18.01586 1.019817
18.03919 1.020411
18.06252 1.021037
18.08585 1.021753
18.10918 1.021912
18.13251 1.022668
18.15584 1.023444
18.17917 1.023414
18.2025 1.024006
18.22583 1.02505
18.24916 1.02593
18.27249 1.025908
18.29582 1.025777
18.31915 1.025265
18.34248 1.024312
18.36581 1.023638
18.38914 1.023708
18.41247 1.024168
18.4358 1.024949
18.45913 1.024652
18.48246 1.024124
18.50579 1.024035
18.52912 1.023448
18.55245 1.022869
18.57578 1.022314
18.59911 1.021804
18.62244 1.020888
18.64577 1.019678
18.6691 1.018283
18.69243 1.015619
18.71576 1.013426
18.73909 1.012556
18.76242 1.011345
18.78575 1.011509
18.80908 1.011359
18.83241 1.011148
18.85574 1.010237
18.87907 1.010004
18.9024 1.009133
18.92573 1.010048
18.94906 1.009084
18.97239 1.007548
18.99572 1.006491
19.01905 1.004755
19.04238 1.0039
19.06571 1.002353
19.08904 1.001289
19.11237 1.00014
19.1357 0.9991714
19.15903 0.9991851
19.18236 0.9997548
19.20569 1.000712
19.22902 1.000435
19.25235 1.000539
19.27568 1.000213
19.29901 0.999834
19.32234 0.9999401
19.34567 0.9992115
19.369 0.9983647
19.39233 0.9985231
19.41566 0.9982262
19.43899 0.9978363
19.46232 0.9976387
19.48565 0.997039
19.50898 0.9967212
19.53231 0.9961808
19.55564 0.9961938
19.57897 0.9962355
19.6023 0.9958333
19.62563 0.995908
19.64896 0.9951564
19.67229 0.9948271
19.69562 0.9944955
19.71895 0.9948898
19.74228 0.9958984
19.76561 0.9955674
19.78894 0.9953007
19.81227 0.9956398
19.8356 0.9955835
19.85893 0.9956519
19.88226 0.995855
19.90559 0.9967564
19.92892 0.9967164
19.95225 0.9972334
19.97558 0.9966239
19.99891 0.9964016
20.02224 0.9971413
20.04557 0.9969934
20.0689 0.9958525
20.09223 0.9950393
20.11556 0.9952331
20.13889 0.9945016
20.16222 0.9952105
20.18555 0.9953678
20.20888 0.9955847
20.23221 0.9951976
20.25554 0.9961742
20.27887 0.995837
20.3022 0.9960503
20.32553 0.9966344
20.34886 0.9973389
20.37219 0.9982957
20.39552 0.9990141
20.41885 1.000967
20.44218 1.001427
20.46551 1.001774
20.48884 1.002353
20.51217 1.00267
20.5355 1.003026
20.55883 1.00255
20.58216 1.00209
20.60549 1.002025
20.62882 1.001244
20.65215 1.000875
20.67548 1.001603
20.69881 1.001231
20.72214 1.001848
20.74547 1.002936
20.7688 1.004074
20.79213 1.005719
20.81546 1.00522
20.83879 1.004949
20.86212 1.003426
20.88545 1.00349
20.90878 1.002796
20.93211 1.002169
20.95544 1.001929
20.97877 1.001234
21.0021 1.000499
21.02543 1.000781
21.04876 1.001523
21.07209 1.001228
21.09542 1.000652
21.11875 1.000182
21.14208 0.9990195
21.16541 0.9999343
21.18874 1.000032
21.21207 0.9989479
21.2354 0.9981999
21.25873 0.997769
21.28206 0.9974476
21.30539 0.9971082
21.32872 0.9968279
21.35205 0.9965007
21.37538 0.9956287
21.39871 0.9954079
21.42204 0.996156
21.44537 0.9966623
21.4687 0.9959264
21.49203 0.9951689
